runid, cl1et,cl1cp, cl2et, cl2cp, SSAS_TIME, DSAS_TIME, IRLM_TIME,  DDF_TIME,lock_req,unlock_req,claim_req,sync_xes_lock,synch_xes_unlock,tot_getpages,TOT_GETM_STORAGE,TOT_VAR_STORAGE,TOT_AGENT_LOC_STRG,TOT_AGENT_SYS_STRG,TOT_FIXED_STORAGE,TOT_GETM_STCK_STOR,A2GB_SHR_REALF_TS,A2GB_SHR_REALF_STK
"D170406A",+000006777.566056,+00000000518.586073,+000006480.418843,+00000000245.655622,+000000000070.463240,+000000000186.826026,+000000000053.131397,+000000000000.004980,+1.02787210000000E+007,+1.26683000000000E+005,+5.62123000000000E+005,+1.18025040000000E+007,+9.05255000000000E+005,+3.32539110000000E+007,+1.85000000000000E+000,+7.52000000000000E+000,+4.98000000000000E+000,+3.48000000000000E+000,+2.00000000000000E-001,+1.47700000000000E+001,+9.13400000000000E+001,+5.84100000000000E+001
"D170415C",+000006786.904768,+00000000519.390689,+000006490.214250,+00000000247.243934,+000000000071.506539,+000000000195.245575,+000000000053.666223,+000000000000.003616,+1.02798060000000E+007,+1.26944000000000E+005,+5.62889000000000E+005,+1.21387200000000E+007,+9.19192000000000E+005,+1.52540710000000E+007,+2.10000000000000E+000,+7.45000000000000E+000,+4.91000000000000E+000,+3.59000000000000E+000,+2.00000000000000E-001,+1.51800000000000E+001,+8.65900000000000E+001,+5.86900000000000E+001
"D170214A",+000006791.959196,+00000000522.952150,+000006495.835371,+00000000250.116496,+000000000070.508523,+000000000188.643002,+000000000051.717473,+000000000000.005134,+1.02804090000000E+007,+1.27255000000000E+005,+5.63224000000000E+005,+1.22376600000000E+007,+9.33551000000000E+005,+3.06057320000000E+007,+1.81000000000000E+000,+6.99000000000000E+000,+4.46000000000000E+000,+3.37000000000000E+000,+1.40000000000000E-001,+1.39300000000000E+001,+1.83660000000000E+002,+5.82600000000000E+001
"D170209C",+000006832.555569,+00000000526.923996,+000006539.052132,+00000000254.306651,+000000000070.303722,+000000000191.370190,+000000000052.854260,+000000000000.004760,+1.02799440000000E+007,+1.27088000000000E+005,+5.62894000000000E+005,+1.27841700000000E+007,+9.65726000000000E+005,+3.05590380000000E+007,+1.79000000000000E+000,+7.12000000000000E+000,+4.61000000000000E+000,+3.19000000000000E+000,+2.00000000000000E-001,+1.40700000000000E+001,+1.79010000000000E+002,+5.87600000000000E+001
"D170404A",+000006842.300710,+00000000524.847003,+000006544.211598,+00000000251.747366,+000000000070.021906,+000000000206.330788,+000000000053.843392,+000000000000.005127,+1.02786970000000E+007,+1.26561000000000E+005,+5.62170000000000E+005,+1.23088000000000E+007,+9.33691000000000E+005,+3.06893530000000E+007,+1.71000000000000E+000,+7.33000000000000E+000,+4.80000000000000E+000,+3.28000000000000E+000,+2.00000000000000E-001,+1.39900000000000E+001,+8.29800000000000E+001,+5.86200000000000E+001
"D170405A",+000006861.256658,+00000000528.865381,+000006563.896953,+00000000255.881026,+000000000071.123055,+000000000216.461940,+000000000056.086240,+000000000000.005145,+1.02790210000000E+007,+1.26685000000000E+005,+5.62378000000000E+005,+1.26766230000000E+007,+9.09143000000000E+005,+3.16763600000000E+007,+2.06000000000000E+000,+7.66000000000000E+000,+5.12000000000000E+000,+3.52000000000000E+000,+2.30000000000000E-001,+1.52300000000000E+001,+8.74700000000000E+001,+5.90200000000000E+001
"D170311C",+000006879.916372,+00000000527.793018,+000006583.879319,+00000000254.660507,+000000000070.203059,+000000000195.768895,+000000000053.144209,+000000000000.004870,+1.02792370000000E+007,+1.26846000000000E+005,+5.62444000000000E+005,+1.26013060000000E+007,+9.47156000000000E+005,+3.14931580000000E+007,+2.53000000000000E+000,+7.61000000000000E+000,+5.04000000000000E+000,+3.71000000000000E+000,+2.00000000000000E-001,+1.62100000000000E+001,+1.97870000000000E+002,+5.84000000000000E+001
"D170311A",+000006880.938297,+00000000526.599493,+000006585.981900,+00000000253.937145,+000000000069.551793,+000000000191.625469,+000000000052.167713,+000000000000.003730,+1.02793020000000E+007,+1.26879000000000E+005,+5.62476000000000E+005,+1.28080840000000E+007,+9.63383000000000E+005,+3.02908660000000E+007,+1.76000000000000E+000,+7.25000000000000E+000,+4.73000000000000E+000,+3.26000000000000E+000,+2.00000000000000E-001,+1.42100000000000E+001,+1.77770000000000E+002,+5.83000000000000E+001
"D170331A",+000006897.086094,+00000000529.217564,+000006604.054808,+00000000255.967038,+000000000070.017016,+000000000196.028404,+000000000054.141727,+000000000000.004885,+1.02817090000000E+007,+1.27645000000000E+005,+5.64136000000000E+005,+1.28179690000000E+007,+9.71746000000000E+005,+3.07337920000000E+007,+2.37000000000000E+000,+8.50000000000000E+000,+5.92000000000000E+000,+4.65000000000000E+000,+2.30000000000000E-001,+1.70700000000000E+001,+9.19100000000000E+001,+5.90800000000000E+001
"D170410A",+000006918.411925,+00000000545.485764,+000006621.166008,+00000000271.959300,+000000000072.797379,+000000000230.792763,+000000000057.567212,+000000000000.003909,+1.02850550000000E+007,+1.28719000000000E+005,+5.66365000000000E+005,+1.22719730000000E+007,+9.21621000000000E+005,+3.11876750000000E+007,+2.07000000000000E+000,+7.40000000000000E+000,+4.86000000000000E+000,+3.43000000000000E+000,+2.00000000000000E-001,+1.49900000000000E+001,+8.41400000000000E+001,+5.94600000000000E+001
