runid, cl1et,cl1cp, cl2et, cl2cp, SSAS_TIME, DSAS_TIME, IRLM_TIME,  DDF_TIME,lock_req,unlock_req,claim_req,sync_xes_lock,synch_xes_unlock,tot_getpages,TOT_GETM_STORAGE,TOT_VAR_STORAGE,TOT_AGENT_LOC_STRG,TOT_AGENT_SYS_STRG,TOT_FIXED_STORAGE,TOT_GETM_STCK_STOR,A2GB_SHR_REALF_TS,A2GB_SHR_REALF_STK
"D170310A",+000001331.626667,+00000000394.246184,+000000982.440905,+00000000122.320469,+000000000016.669590,+000000000012.279220,+000000000000.356332,+000000000000.002638,+1.02905430000000E+007,+1.30441000000000E+005,+5.70253000000000E+005,+5.65950000000000E+004,+3.04840000000000E+004,+3.05535130000000E+007,+1.33000000000000E+000,+6.67000000000000E+000,+4.18000000000000E+000,+3.03000000000000E+000,+1.40000000000000E-001,+1.22200000000000E+001,+1.75470000000000E+002,+5.74600000000000E+001
"D170220A",+000001349.462868,+00000000396.041636,+000000990.341606,+00000000124.389939,+000000000017.034732,+000000000012.417259,+000000000000.358120,+000000000000.002610,+1.02862050000000E+007,+1.29003000000000E+005,+5.67328000000000E+005,+5.72530000000000E+004,+3.05280000000000E+004,+4.40011550000000E+007,+1.93000000000000E+000,+8.24000000000000E+000,+5.70000000000000E+000,+4.26000000000000E+000,+2.30000000000000E-001,+1.57000000000000E+001,+1.89200000000000E+002,+5.97400000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000016.955822,+000000000012.612318,+000000000000.345078,+000000000000.002759,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.90000000000000E-001,+9.20000000000000E-001,+4.50000000000000E-001,+2.00000000000000E-001,+8.00000000000000E-002,+4.96000000000000E+000,+1.63700000000000E+001,+2.44300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000016.955822,+000000000012.612318,+000000000000.345078,+000000000000.002759,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.38000000000000E+000,+7.78000000000000E+000,+5.23000000000000E+000,+3.68000000000000E+000,+2.30000000000000E-001,+1.61800000000000E+001,+8.56900000000000E+001,+5.91300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000046.241904,+000000000078.160061,+000000000004.448961,+000000000000.002839,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.90000000000000E-001,+9.20000000000000E-001,+4.50000000000000E-001,+2.00000000000000E-001,+8.00000000000000E-002,+4.96000000000000E+000,+1.63700000000000E+001,+2.44300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000046.241904,+000000000078.160061,+000000000004.448961,+000000000000.002839,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.38000000000000E+000,+7.78000000000000E+000,+5.23000000000000E+000,+3.68000000000000E+000,+2.30000000000000E-001,+1.61800000000000E+001,+8.56900000000000E+001,+5.91300000000000E+001
"D170301C",+000001460.323898,+00000000400.386022,+000001101.233013,+00000000128.546682,+000000000018.905002,+000000000018.789688,+000000000000.384177,+000000000000.002974,+1.02870940000000E+007,+1.29314000000000E+005,+5.67922000000000E+005,+5.71730000000000E+004,+3.05800000000000E+004,+4.41667190000000E+007,+1.97000000000000E+000,+8.57000000000000E+000,+6.01000000000000E+000,+4.81000000000000E+000,+2.30000000000000E-001,+1.63300000000000E+001,+1.88810000000000E+002,+6.41800000000000E+001
"D170220A",+000003670.633198,+00000000475.211260,+000003375.161543,+00000000203.293830,+000000000017.034732,+000000000012.417259,+000000000000.358120,+000000000000.002610,+1.02957140000000E+007,+1.32266000000000E+005,+5.73583000000000E+005,+9.24426100000000E+006,+5.84297000000000E+005,+4.40011550000000E+007,+1.93000000000000E+000,+8.24000000000000E+000,+5.70000000000000E+000,+4.26000000000000E+000,+2.30000000000000E-001,+1.57000000000000E+001,+1.89200000000000E+002,+5.97400000000000E+001
"D170310A",+000003679.745979,+00000000474.907344,+000003380.948021,+00000000202.703404,+000000000016.669590,+000000000012.279220,+000000000000.356332,+000000000000.002638,+1.02958620000000E+007,+1.32333000000000E+005,+5.73690000000000E+005,+9.23993200000000E+006,+5.79815000000000E+005,+3.05535130000000E+007,+1.33000000000000E+000,+6.67000000000000E+000,+4.18000000000000E+000,+3.03000000000000E+000,+1.40000000000000E-001,+1.22200000000000E+001,+1.75470000000000E+002,+5.74600000000000E+001
"D170301C",+000004125.868045,+00000000500.988881,+000003840.061172,+00000000228.824681,+000000000018.905002,+000000000018.789688,+000000000000.384177,+000000000000.002974,+1.03923890000000E+007,+1.31632000000000E+005,+6.70909000000000E+005,+1.16117540000000E+007,+6.74448000000000E+005,+4.41667190000000E+007,+1.97000000000000E+000,+8.57000000000000E+000,+6.01000000000000E+000,+4.81000000000000E+000,+2.30000000000000E-001,+1.63300000000000E+001,+1.88810000000000E+002,+6.41800000000000E+001
"D170414A",+000005419.158753,+00000000438.313803,+000005113.809234,+00000000166.049972,+000000000041.037898,+000000000065.879595,+000000000043.003476,+000000000000.004104,+1.02745180000000E+007,+1.25109000000000E+005,+5.59407000000000E+005,+2.37309800000000E+006,+3.64085000000000E+005,+1.50803510000000E+007,+2.23000000000000E+000,+7.52000000000000E+000,+4.96000000000000E+000,+3.58000000000000E+000,+2.00000000000000E-001,+1.54600000000000E+001,+9.00500000000000E+001,+5.77000000000000E+001
"D170429A",+000005666.549383,+00000000446.090975,+000005334.961781,+00000000173.384427,+000000000037.098868,+000000000178.456145,+000000000022.958491,+000000000000.003560,+1.02814400000000E+007,+1.27456000000000E+005,+5.64149000000000E+005,+3.35749600000000E+006,+3.60854000000000E+005,+1.55368750000000E+007,+2.31000000000000E+000,+7.63000000000000E+000,+5.07000000000000E+000,+3.55000000000000E+000,+2.30000000000000E-001,+1.56000000000000E+001,+8.52800000000000E+001,+5.83200000000000E+001
"D170325E",+000005659.256157,+00000000511.741925,+000005360.958534,+00000000238.313484,+000000000041.016361,+000000000116.477877,+000000000038.906358,+000000000000.004357,+1.02815930000000E+007,+1.27635000000000E+005,+5.64062000000000E+005,+1.21827260000000E+007,+8.47411000000000E+005,+3.29838430000000E+007,+1.72000000000000E+000,+6.91000000000000E+000,+4.38000000000000E+000,+3.25000000000000E+000,+1.40000000000000E-001,+1.34500000000000E+001,+8.53500000000000E+001,+5.86600000000000E+001
"D170408A",+000005811.494642,+00000000525.790846,+000005520.903955,+00000000252.787784,+000000000037.967196,+000000000112.524698,+000000000037.707969,+000000000000.004653,+1.02822760000000E+007,+1.27846000000000E+005,+5.64519000000000E+005,+1.33666760000000E+007,+9.21427000000000E+005,+3.28830000000000E+007,+1.81000000000000E+000,+7.01000000000000E+000,+4.50000000000000E+000,+3.18000000000000E+000,+1.40000000000000E-001,+1.39300000000000E+001,+8.15700000000000E+001,+5.89100000000000E+001
"D170421A",+000006045.466593,+00000000425.096915,+000005721.552900,+00000000153.005016,+000000000033.814894,+000000000104.437451,+000000000031.306601,+000000000000.004374,+1.02787460000000E+007,+1.26544000000000E+005,+5.62288000000000E+005,+6.30998000000000E+005,+2.42023000000000E+005,+1.55227520000000E+007,+1.96000000000000E+000,+7.39000000000000E+000,+4.85000000000000E+000,+3.30000000000000E+000,+2.00000000000000E-001,+1.45800000000000E+001,+8.53400000000000E+001,+6.02300000000000E+001
"D170408A",+000006062.354839,+00000000436.698182,+000005746.067049,+00000000164.238955,+000000000037.967196,+000000000112.524698,+000000000037.707969,+000000000000.004653,+1.02789640000000E+007,+1.26658000000000E+005,+5.62399000000000E+005,+1.88659100000000E+006,+3.06411000000000E+005,+3.28830000000000E+007,+1.81000000000000E+000,+7.01000000000000E+000,+4.50000000000000E+000,+3.18000000000000E+000,+1.40000000000000E-001,+1.39300000000000E+001,+8.15700000000000E+001,+5.89100000000000E+001
"D170131A",+000006071.413259,+00000000497.554198,+000005774.809852,+00000000224.572315,+000000000060.518465,+000000000114.383680,+000000000049.536426,+000000000000.004346,+1.02767580000000E+007,+1.25932000000000E+005,+5.60802000000000E+005,+1.09905800000000E+007,+8.24576000000000E+005,+1.40159740000000E+007,+2.57000000000000E+000,+8.01000000000000E+000,+5.44000000000000E+000,+3.94000000000000E+000,+2.30000000000000E-001,+1.71600000000000E+001,+8.95500000000000E+001,+5.94500000000000E+001
"D170325E",+000006093.201527,+00000000445.598834,+000005784.793793,+00000000172.738475,+000000000041.016361,+000000000116.477877,+000000000038.906358,+000000000000.004357,+1.02768560000000E+007,+1.25936000000000E+005,+5.60977000000000E+005,+3.17381300000000E+006,+3.61839000000000E+005,+3.29838430000000E+007,+1.72000000000000E+000,+6.91000000000000E+000,+4.38000000000000E+000,+3.25000000000000E+000,+1.40000000000000E-001,+1.34500000000000E+001,+8.53500000000000E+001,+5.86600000000000E+001
"D170315A",+000006168.972179,+00000000505.925526,+000005867.507491,+00000000232.836871,+000000000063.710882,+000000000135.981193,+000000000051.868451,+000000000000.004443,+1.02789070000000E+007,+1.26617000000000E+005,+5.62257000000000E+005,+1.11781720000000E+007,+8.58077000000000E+005,+2.94737070000000E+007,+1.61000000000000E+000,+7.24000000000000E+000,+4.74000000000000E+000,+3.15000000000000E+000,+2.00000000000000E-001,+1.37300000000000E+001,+1.80780000000000E+002,+5.95800000000000E+001
"D170203A",+000006199.498256,+00000000507.945446,+000005902.241503,+00000000235.163256,+000000000065.805478,+000000000145.284698,+000000000050.923149,+000000000000.004612,+1.02783040000000E+007,+1.26430000000000E+005,+5.61862000000000E+005,+1.13427310000000E+007,+8.93458000000000E+005,+2.95755300000000E+007,+1.77000000000000E+000,+7.16000000000000E+000,+4.64000000000000E+000,+3.20000000000000E+000,+2.00000000000000E-001,+1.40200000000000E+001,+8.75800000000000E+001,+5.88900000000000E+001
"D170222A",+000006223.960549,+00000000500.591670,+000005926.944276,+00000000227.621200,+000000000064.473058,+000000000129.165082,+000000000051.011406,+000000000000.004617,+1.02741970000000E+007,+1.25079000000000E+005,+5.59141000000000E+005,+1.13085140000000E+007,+8.78124000000000E+005,+3.21003910000000E+007,+1.17000000000000E+000,+8.43000000000000E+000,+5.89000000000000E+000,+4.66000000000000E+000,+2.30000000000000E-001,+1.43500000000000E+001,+1.87030000000000E+002,+6.32900000000000E+001
"D170206A",+000006231.990300,+00000000507.860862,+000005934.823716,+00000000235.153629,+000000000062.492304,+000000000129.991276,+000000000052.804152,+000000000000.004491,+1.02805450000000E+007,+1.27171000000000E+005,+5.63375000000000E+005,+1.10332210000000E+007,+8.28257000000000E+005,+2.85225070000000E+007,+1.35000000000000E+000,+6.79000000000000E+000,+4.29000000000000E+000,+2.86000000000000E+000,+1.40000000000000E-001,+1.26500000000000E+001,+1.77170000000000E+002,+5.78700000000000E+001
"D170317A",+000006265.768039,+00000000504.493760,+000005966.790401,+00000000231.420246,+000000000062.590202,+000000000129.305136,+000000000052.892967,+000000000000.004579,+1.02772440000000E+007,+1.26066000000000E+005,+5.61155000000000E+005,+1.11891560000000E+007,+8.47184000000000E+005,+2.88642120000000E+007,+1.80000000000000E+000,+7.38000000000000E+000,+4.85000000000000E+000,+3.42000000000000E+000,+2.00000000000000E-001,+1.44600000000000E+001,+1.78460000000000E+002,+5.92100000000000E+001
"D170308A",+000006266.897379,+00000000508.423140,+000005968.914036,+00000000235.837636,+000000000064.456628,+000000000145.863678,+000000000051.798183,+000000000000.004870,+1.02793120000000E+007,+1.26764000000000E+005,+5.62514000000000E+005,+1.12634910000000E+007,+8.76365000000000E+005,+3.25046910000000E+007,+1.22000000000000E+000,+7.34000000000000E+000,+4.84000000000000E+000,+3.50000000000000E+000,+2.00000000000000E-001,+1.32000000000000E+001,+1.79670000000000E+002,+5.97700000000000E+001
"D170306B",+000006276.580641,+00000000515.611378,+000005976.371223,+00000000242.170758,+000000000065.847513,+000000000144.322358,+000000000052.038439,+000000000000.004732,+1.02802520000000E+007,+1.27094000000000E+005,+5.63148000000000E+005,+1.13359660000000E+007,+8.91027000000000E+005,+3.19037420000000E+007,+1.41000000000000E+000,+7.42000000000000E+000,+4.91000000000000E+000,+3.38000000000000E+000,+2.00000000000000E-001,+1.35200000000000E+001,+1.78610000000000E+002,+6.11300000000000E+001
"D170224A",+000006278.411157,+00000000498.088103,+000005980.852812,+00000000225.179371,+000000000062.955807,+000000000133.206096,+000000000050.334313,+000000000000.004459,+1.02762060000000E+007,+1.25702000000000E+005,+5.60501000000000E+005,+1.12774970000000E+007,+8.61809000000000E+005,+3.18569630000000E+007,+1.46000000000000E+000,+9.11000000000000E+000,+6.56000000000000E+000,+4.85000000000000E+000,+2.30000000000000E-001,+1.59300000000000E+001,+1.94210000000000E+002,+6.21100000000000E+001
"D170114B",+000006284.088659,+00000000513.143092,+000005983.772173,+00000000240.279033,+000000000067.884998,+000000000154.416185,+000000000051.056521,+000000000000.004616,+1.02809470000000E+007,+1.27341000000000E+005,+5.63640000000000E+005,+1.13597130000000E+007,+8.96926000000000E+005,+1.38530650000000E+007,+4.80000000000000E-001,+1.09000000000000E+000,+6.00000000000000E-001,+3.10000000000000E-001,+8.00000000000000E-002,+5.56000000000000E+000,+1.76700000000000E+001,+2.51000000000000E+001
"D170114B",+000006284.088659,+00000000513.143092,+000005983.772173,+00000000240.279033,+000000000067.884998,+000000000154.416185,+000000000051.056521,+000000000000.004616,+1.02809470000000E+007,+1.27341000000000E+005,+5.63640000000000E+005,+1.13597130000000E+007,+8.96926000000000E+005,+1.38530650000000E+007,+1.62000000000000E+000,+7.27000000000000E+000,+4.75000000000000E+000,+3.25000000000000E+000,+2.00000000000000E-001,+1.37300000000000E+001,+8.23300000000000E+001,+6.01500000000000E+001
"D170114B",+000006284.088659,+00000000513.143092,+000005983.772173,+00000000240.279033,+000000000069.691610,+000000000142.619254,+000000000052.600013,+000000000000.004663,+1.02809470000000E+007,+1.27341000000000E+005,+5.63640000000000E+005,+1.13597130000000E+007,+8.96926000000000E+005,+1.38530650000000E+007,+4.80000000000000E-001,+1.09000000000000E+000,+6.00000000000000E-001,+3.10000000000000E-001,+8.00000000000000E-002,+5.56000000000000E+000,+1.76700000000000E+001,+2.51000000000000E+001
"D170114B",+000006284.088659,+00000000513.143092,+000005983.772173,+00000000240.279033,+000000000069.691610,+000000000142.619254,+000000000052.600013,+000000000000.004663,+1.02809470000000E+007,+1.27341000000000E+005,+5.63640000000000E+005,+1.13597130000000E+007,+8.96926000000000E+005,+1.38530650000000E+007,+1.62000000000000E+000,+7.27000000000000E+000,+4.75000000000000E+000,+3.25000000000000E+000,+2.00000000000000E-001,+1.37300000000000E+001,+8.23300000000000E+001,+6.01500000000000E+001
"D170123A",+000006293.628021,+00000000516.452201,+000005993.380557,+00000000243.674106,+000000000069.714858,+000000000159.749049,+000000000049.446318,+000000000000.004698,+1.02815110000000E+007,+1.27517000000000E+005,+5.64009000000000E+005,+1.14083980000000E+007,+8.82929000000000E+005,+1.75552330000000E+007,+4.40000000000000E-001,+1.12000000000000E+000,+6.40000000000000E-001,+3.90000000000000E-001,+8.00000000000000E-002,+5.44000000000000E+000,+1.75900000000000E+001,+2.56400000000000E+001
"D170123A",+000006293.628021,+00000000516.452201,+000005993.380557,+00000000243.674106,+000000000069.714858,+000000000159.749049,+000000000049.446318,+000000000000.004698,+1.02815110000000E+007,+1.27517000000000E+005,+5.64009000000000E+005,+1.14083980000000E+007,+8.82929000000000E+005,+1.75552330000000E+007,+1.50000000000000E+000,+7.58000000000000E+000,+5.06000000000000E+000,+3.45000000000000E+000,+2.00000000000000E-001,+1.39300000000000E+001,+8.66500000000000E+001,+5.97800000000000E+001
"D170123A",+000006293.628021,+00000000516.452201,+000005993.380557,+00000000243.674106,+000000000068.345205,+000000000157.830182,+000000000052.917361,+000000000000.004491,+1.02815110000000E+007,+1.27517000000000E+005,+5.64009000000000E+005,+1.14083980000000E+007,+8.82929000000000E+005,+1.75552330000000E+007,+4.40000000000000E-001,+1.12000000000000E+000,+6.40000000000000E-001,+3.90000000000000E-001,+8.00000000000000E-002,+5.44000000000000E+000,+1.75900000000000E+001,+2.56400000000000E+001
"D170123A",+000006293.628021,+00000000516.452201,+000005993.380557,+00000000243.674106,+000000000068.345205,+000000000157.830182,+000000000052.917361,+000000000000.004491,+1.02815110000000E+007,+1.27517000000000E+005,+5.64009000000000E+005,+1.14083980000000E+007,+8.82929000000000E+005,+1.75552330000000E+007,+1.50000000000000E+000,+7.58000000000000E+000,+5.06000000000000E+000,+3.45000000000000E+000,+2.00000000000000E-001,+1.39300000000000E+001,+8.66500000000000E+001,+5.97800000000000E+001
"D170228A",+000006296.132579,+00000000515.843150,+000005994.947238,+00000000242.181577,+000000000064.586826,+000000000146.103664,+000000000050.680868,+000000000000.004566,+1.02796160000000E+007,+1.26908000000000E+005,+5.62709000000000E+005,+1.12423740000000E+007,+8.70797000000000E+005,+3.20454600000000E+007,+2.25000000000000E+000,+7.58000000000000E+000,+5.03000000000000E+000,+3.64000000000000E+000,+2.00000000000000E-001,+1.58000000000000E+001,+1.88350000000000E+002,+5.95900000000000E+001
"D170328A",+000006306.002516,+00000000466.387909,+000006004.402214,+00000000193.498375,+000000000049.716965,+000000000125.028098,+000000000048.291951,+000000000000.005089,+1.02748160000000E+007,+1.25250000000000E+005,+5.59587000000000E+005,+5.35378200000000E+006,+5.24429000000000E+005,+3.30599600000000E+007,+1.88000000000000E+000,+7.42000000000000E+000,+4.89000000000000E+000,+3.51000000000000E+000,+2.00000000000000E-001,+1.43900000000000E+001,+8.76000000000000E+001,+5.88800000000000E+001
"D170314A",+000006302.824324,+00000000508.098956,+000006004.915638,+00000000235.219583,+000000000063.611879,+000000000134.470446,+000000000050.105758,+000000000000.004576,+1.02788250000000E+007,+1.26575000000000E+005,+5.62205000000000E+005,+1.12342790000000E+007,+8.72128000000000E+005,+2.95508570000000E+007,+2.01000000000000E+000,+7.38000000000000E+000,+4.84000000000000E+000,+3.45000000000000E+000,+2.00000000000000E-001,+1.49800000000000E+001,+1.78130000000000E+002,+5.79100000000000E+001
"D170313A",+000006303.255731,+00000000512.088864,+000006005.062169,+00000000239.007612,+000000000064.701784,+000000000142.436190,+000000000050.636283,+000000000000.004650,+1.02792030000000E+007,+1.26717000000000E+005,+5.62466000000000E+005,+1.13882410000000E+007,+8.91111000000000E+005,+2.99645140000000E+007,+2.43000000000000E+000,+8.57000000000000E+000,+6.00000000000000E+000,+4.52000000000000E+000,+2.30000000000000E-001,+1.71300000000000E+001,+1.88840000000000E+002,+5.94900000000000E+001
"D170114E",+000006318.256998,+00000000516.541473,+000006017.379972,+00000000243.547521,+000000000068.025994,+000000000171.109546,+000000000052.648241,+000000000000.004579,+1.02804580000000E+007,+1.27164000000000E+005,+5.63317000000000E+005,+1.14490620000000E+007,+9.11347000000000E+005,+1.44848780000000E+007,+5.00000000000000E-001,+1.13000000000000E+000,+6.00000000000000E-001,+3.60000000000000E-001,+8.00000000000000E-002,+5.45000000000000E+000,+1.76500000000000E+001,+2.58000000000000E+001
"D170114E",+000006318.256998,+00000000516.541473,+000006017.379972,+00000000243.547521,+000000000068.025994,+000000000171.109546,+000000000052.648241,+000000000000.004579,+1.02804580000000E+007,+1.27164000000000E+005,+5.63317000000000E+005,+1.14490620000000E+007,+9.11347000000000E+005,+1.44848780000000E+007,+1.55000000000000E+000,+7.95000000000000E+000,+5.41000000000000E+000,+3.94000000000000E+000,+2.30000000000000E-001,+1.45400000000000E+001,+9.01000000000000E+001,+6.04000000000000E+001
"D170114E",+000006318.256998,+00000000516.541473,+000006017.379972,+00000000243.547521,+000000000068.958411,+000000000170.789035,+000000000053.347388,+000000000000.004774,+1.02804580000000E+007,+1.27164000000000E+005,+5.63317000000000E+005,+1.14490620000000E+007,+9.11347000000000E+005,+1.44848780000000E+007,+5.00000000000000E-001,+1.13000000000000E+000,+6.00000000000000E-001,+3.60000000000000E-001,+8.00000000000000E-002,+5.45000000000000E+000,+1.76500000000000E+001,+2.58000000000000E+001
"D170114E",+000006318.256998,+00000000516.541473,+000006017.379972,+00000000243.547521,+000000000068.958411,+000000000170.789035,+000000000053.347388,+000000000000.004774,+1.02804580000000E+007,+1.27164000000000E+005,+5.63317000000000E+005,+1.14490620000000E+007,+9.11347000000000E+005,+1.44848780000000E+007,+1.55000000000000E+000,+7.95000000000000E+000,+5.41000000000000E+000,+3.94000000000000E+000,+2.30000000000000E-001,+1.45400000000000E+001,+9.01000000000000E+001,+6.04000000000000E+001
"D170223A",+000006315.656632,+00000000500.102398,+000006019.495839,+00000000227.442658,+000000000063.981172,+000000000131.852995,+000000000050.688538,+000000000000.004623,+1.02749480000000E+007,+1.25318000000000E+005,+5.59628000000000E+005,+1.13136350000000E+007,+8.78093000000000E+005,+3.25838080000000E+007,+2.36000000000000E+000,+7.61000000000000E+000,+5.06000000000000E+000,+3.63000000000000E+000,+2.00000000000000E-001,+1.58500000000000E+001,+1.80700000000000E+002,+5.92500000000000E+001
"D170119A",+000006317.479369,+00000000520.488694,+000006019.612910,+00000000247.443713,+000000000067.078212,+000000000157.973393,+000000000051.870269,+000000000000.004472,+1.02810510000000E+007,+1.27358000000000E+005,+5.63686000000000E+005,+1.13203300000000E+007,+8.99051000000000E+005,+1.74922290000000E+007,+4.90000000000000E-001,+1.04000000000000E+000,+5.40000000000000E-001,+2.90000000000000E-001,+8.00000000000000E-002,+5.46000000000000E+000,+1.73800000000000E+001,+2.51600000000000E+001
"D170119A",+000006317.479369,+00000000520.488694,+000006019.612910,+00000000247.443713,+000000000067.078212,+000000000157.973393,+000000000051.870269,+000000000000.004472,+1.02810510000000E+007,+1.27358000000000E+005,+5.63686000000000E+005,+1.13203300000000E+007,+8.99051000000000E+005,+1.74922290000000E+007,+2.36000000000000E+000,+7.78000000000000E+000,+5.21000000000000E+000,+3.83000000000000E+000,+2.30000000000000E-001,+1.59300000000000E+001,+9.31000000000000E+001,+5.89300000000000E+001
"D170119A",+000006317.479369,+00000000520.488694,+000006019.612910,+00000000247.443713,+000000000069.525886,+000000000147.084384,+000000000052.224164,+000000000000.004553,+1.02810510000000E+007,+1.27358000000000E+005,+5.63686000000000E+005,+1.13203300000000E+007,+8.99051000000000E+005,+1.74922290000000E+007,+4.90000000000000E-001,+1.04000000000000E+000,+5.40000000000000E-001,+2.90000000000000E-001,+8.00000000000000E-002,+5.46000000000000E+000,+1.73800000000000E+001,+2.51600000000000E+001
"D170119A",+000006317.479369,+00000000520.488694,+000006019.612910,+00000000247.443713,+000000000069.525886,+000000000147.084384,+000000000052.224164,+000000000000.004553,+1.02810510000000E+007,+1.27358000000000E+005,+5.63686000000000E+005,+1.13203300000000E+007,+8.99051000000000E+005,+1.74922290000000E+007,+2.36000000000000E+000,+7.78000000000000E+000,+5.21000000000000E+000,+3.83000000000000E+000,+2.30000000000000E-001,+1.59300000000000E+001,+9.31000000000000E+001,+5.89300000000000E+001
"D170309A",+000006319.707682,+00000000512.794210,+000006021.551995,+00000000239.719893,+000000000068.906249,+000000000152.975903,+000000000052.082478,+000000000000.004554,+1.02780140000000E+007,+1.26315000000000E+005,+5.61692000000000E+005,+1.14960830000000E+007,+9.03301000000000E+005,+2.94105600000000E+007,+1.74000000000000E+000,+7.34000000000000E+000,+4.80000000000000E+000,+3.56000000000000E+000,+2.00000000000000E-001,+1.43700000000000E+001,+1.78520000000000E+002,+5.88900000000000E+001
"D170210A",+000006332.093909,+00000000510.108632,+000006035.546490,+00000000237.026264,+000000000064.897468,+000000000143.133382,+000000000051.965952,+000000000000.004623,+1.02796270000000E+007,+1.26849000000000E+005,+5.62778000000000E+005,+1.13300060000000E+007,+8.90195000000000E+005,+2.98595470000000E+007,+2.06000000000000E+000,+7.30000000000000E+000,+4.76000000000000E+000,+3.50000000000000E+000,+2.00000000000000E-001,+1.49300000000000E+001,+1.84110000000000E+002,+5.87500000000000E+001
"D170216A",+000006367.311815,+00000000510.096873,+000006072.325463,+00000000237.547476,+000000000065.503652,+000000000143.741978,+000000000051.212174,+000000000000.004484,+1.02779320000000E+007,+1.26298000000000E+005,+5.61651000000000E+005,+1.13060560000000E+007,+8.90870000000000E+005,+2.91846000000000E+007,+1.62000000000000E+000,+7.44000000000000E+000,+4.92000000000000E+000,+3.29000000000000E+000,+2.00000000000000E-001,+1.39500000000000E+001,+1.85390000000000E+002,+5.94800000000000E+001
"D170227A",+000006377.020970,+00000000508.663706,+000006075.973164,+00000000234.977254,+000000000064.248952,+000000000137.952188,+000000000052.933496,+000000000000.004673,+1.02784020000000E+007,+1.26502000000000E+005,+5.61878000000000E+005,+1.12201430000000E+007,+8.73060000000000E+005,+2.91771460000000E+007,+1.78000000000000E+000,+7.37000000000000E+000,+4.84000000000000E+000,+3.35000000000000E+000,+2.00000000000000E-001,+1.42300000000000E+001,+1.82450000000000E+002,+5.95400000000000E+001
"D170310D",+000006380.218874,+00000000510.848775,+000006082.216312,+00000000238.300535,+000000000065.046548,+000000000143.499459,+000000000053.581526,+000000000000.004671,+1.02797630000000E+007,+1.26930000000000E+005,+5.62835000000000E+005,+1.14957770000000E+007,+9.06702000000000E+005,+2.96825570000000E+007,+1.61000000000000E+000,+6.95000000000000E+000,+4.44000000000000E+000,+3.09000000000000E+000,+1.40000000000000E-001,+1.35200000000000E+001,+1.77010000000000E+002,+5.86600000000000E+001
"D170217A",+000006387.629763,+00000000509.917904,+000006093.144229,+00000000237.358761,+000000000065.680183,+000000000143.948174,+000000000050.913878,+000000000000.004524,+1.02777190000000E+007,+1.26239000000000E+005,+5.61489000000000E+005,+1.14273850000000E+007,+9.07047000000000E+005,+2.99246330000000E+007,+1.46000000000000E+000,+6.73000000000000E+000,+4.23000000000000E+000,+2.88000000000000E+000,+1.40000000000000E-001,+1.28800000000000E+001,+1.77390000000000E+002,+5.70000000000000E+001
"D170201A",+000006389.481020,+00000000508.243480,+000006093.730782,+00000000235.273700,+000000000066.009961,+000000000140.319837,+000000000051.899258,+000000000000.004547,+1.02774190000000E+007,+1.26167000000000E+005,+5.61259000000000E+005,+1.14485590000000E+007,+8.93179000000000E+005,+1.41044860000000E+007,+1.62000000000000E+000,+8.98000000000000E+000,+6.41000000000000E+000,+5.02000000000000E+000,+2.30000000000000E-001,+1.61200000000000E+001,+9.62300000000000E+001,+6.06000000000000E+001
"D170117A",+000006394.650419,+00000000517.031386,+000006096.388813,+00000000244.127397,+000000000068.597706,+000000000146.810911,+000000000053.321613,+000000000000.004743,+1.02813640000000E+007,+1.27464000000000E+005,+5.63890000000000E+005,+1.13252130000000E+007,+8.92234000000000E+005,+1.41347930000000E+007,+4.20000000000000E-001,+1.14000000000000E+000,+6.60000000000000E-001,+3.90000000000000E-001,+8.00000000000000E-002,+5.44000000000000E+000,+1.75400000000000E+001,+2.55200000000000E+001
"D170117A",+000006394.650419,+00000000517.031386,+000006096.388813,+00000000244.127397,+000000000068.597706,+000000000146.810911,+000000000053.321613,+000000000000.004743,+1.02813640000000E+007,+1.27464000000000E+005,+5.63890000000000E+005,+1.13252130000000E+007,+8.92234000000000E+005,+1.41347930000000E+007,+1.80000000000000E+000,+7.20000000000000E+000,+4.68000000000000E+000,+3.30000000000000E+000,+2.00000000000000E-001,+1.38400000000000E+001,+8.80100000000000E+001,+5.89800000000000E+001
